goal_id,goal_type,stage,operation_family,pass_role,operation_kind,tool_family,material_family,diameter_mm,flute_count,nominal_chipload_min_mm_tooth,nominal_chipload_max_mm_tooth,rpm_min,rpm_max,axial_doc_rule,radial_woc_rule,stepover_pct_min,stepover_pct_max,scallop_height_max_mm,drill_depth_d_warn,drill_depth_d_fail,suggest_goal,sim_goal,optimize_goal,evidence_grade,source_id,source_url,notes
onsrud-bull-softwood-adaptive-6000-2f,vendor_lut_chipload,suggest+sim+optimize,adaptive,roughing,*,bull_nose,softwood,6.0,2,0.055,0.095,14000.0,22000.0,0.4xD to 1.25xD,8% to 18%D,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,b,onsrud_cutting_data_recommendations,https://www.onsrud.com/Forms/Cutting-Data-Recommendations.asp,row_kind=exact;
onsrud-bull-hardwood-adaptive-6000-2f,vendor_lut_chipload,suggest+sim+optimize,adaptive,roughing,*,bull_nose,hardwood,6.0,2,0.032,0.06,12000.0,20000.0,0.3xD to 0.85xD,5% to 15%D,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,b,onsrud_cutting_data_recommendations,https://www.onsrud.com/Forms/Cutting-Data-Recommendations.asp,row_kind=exact;
onsrud-bull-plywood-hardwood-pocket-6000-2f,vendor_lut_chipload,suggest+sim+optimize,pocket,roughing,*,bull_nose,plywood_hardwood,6.0,2,0.035,0.065,13000.0,20000.0,0.3xD to 0.75xD,13% to 30%D,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,b,onsrud_cutting_data_recommendations,https://www.onsrud.com/Forms/Cutting-Data-Recommendations.asp,row_kind=exact;
onsrud-bull-aluminum-adaptive-6000-3f,vendor_lut_chipload,suggest+sim+optimize,adaptive,roughing,*,bull_nose,aluminum,6.0,3,0.015,0.03,9000.0,16000.0,0.12xD to 0.42xD,2.5% to 12%D,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,b,onsrud_cutting_data_recommendations,https://www.onsrud.com/Forms/Cutting-Data-Recommendations.asp,row_kind=exact;
amana-ball-softwood-parallel-3175-2f,vendor_lut_chipload,suggest+sim+optimize,parallel,finish,*,ball_nose,softwood,3.175,2,0.018,0.03,16000.0,24000.0,3d finishing,scallop driven,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_ball_nose_v7,https://www.amanatool.com/pub/media/productattachments/Spiral-Ball-Nose-Speed-Chart-v7.pdf,row_kind=exact;
amana-ball-softwood-parallel-6000-2f,vendor_lut_chipload,suggest+sim+optimize,parallel,finish,*,ball_nose,softwood,6.0,2,0.03,0.05,14000.0,22000.0,3d finishing,scallop driven,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_ball_nose_v7,https://www.amanatool.com/pub/media/productattachments/Spiral-Ball-Nose-Speed-Chart-v7.pdf,row_kind=exact;
amana-ball-hardwood-parallel-3175-2f,vendor_lut_chipload,suggest+sim+optimize,parallel,finish,*,ball_nose,hardwood,3.175,2,0.012,0.024,16000.0,22000.0,3d finishing,scallop driven,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_ball_nose_v7,https://www.amanatool.com/pub/media/productattachments/Spiral-Ball-Nose-Speed-Chart-v7.pdf,row_kind=exact;
amana-ball-hardwood-parallel-6000-2f,vendor_lut_chipload,suggest+sim+optimize,parallel,finish,*,ball_nose,hardwood,6.0,2,0.022,0.04,14000.0,22000.0,3d finishing,scallop driven,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_ball_nose_v7,https://www.amanatool.com/pub/media/productattachments/Spiral-Ball-Nose-Speed-Chart-v7.pdf,row_kind=exact;
amana-ball-mdf-parallel-3175-2f,vendor_lut_chipload,suggest+sim+optimize,parallel,finish,*,ball_nose,mdf,3.175,2,0.015,0.026,15000.0,22000.0,3d finishing,scallop driven,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_ball_nose_v7,https://www.amanatool.com/pub/media/productattachments/Spiral-Ball-Nose-Speed-Chart-v7.pdf,row_kind=exact;
amana-ball-mdf-parallel-6000-2f,vendor_lut_chipload,suggest+sim+optimize,parallel,finish,*,ball_nose,mdf,6.0,2,0.025,0.042,13000.0,21000.0,3d finishing,scallop driven,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_ball_nose_v7,https://www.amanatool.com/pub/media/productattachments/Spiral-Ball-Nose-Speed-Chart-v7.pdf,row_kind=exact;
amana-ball-acrylic-parallel-3175-2f,vendor_lut_chipload,suggest+sim+optimize,parallel,finish,*,ball_nose,acrylic,3.175,2,0.012,0.024,16000.0,22000.0,3d finishing,scallop driven,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_ball_nose_v7,https://www.amanatool.com/pub/media/productattachments/Spiral-Ball-Nose-Speed-Chart-v7.pdf,row_kind=exact;
amana-ball-acrylic-parallel-6000-2f,vendor_lut_chipload,suggest+sim+optimize,parallel,finish,*,ball_nose,acrylic,6.0,2,0.018,0.032,14000.0,20000.0,3d finishing,scallop driven,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_ball_nose_v7,https://www.amanatool.com/pub/media/productattachments/Spiral-Ball-Nose-Speed-Chart-v7.pdf,row_kind=exact;
amana-ball-aluminum-scallop-3175-2f,vendor_lut_chipload,suggest+sim+optimize,scallop,finish,*,ball_nose,aluminum,3.175,2,0.006,0.014,9000.0,16000.0,light finishing,small stepover,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_ball_nose_v7,https://www.amanatool.com/pub/media/productattachments/Spiral-Ball-Nose-Speed-Chart-v7.pdf,row_kind=exact;
amana-ball-aluminum-scallop-6000-2f,vendor_lut_chipload,suggest+sim+optimize,scallop,finish,*,ball_nose,aluminum,6.0,2,0.008,0.018,9000.0,14000.0,light finishing,small stepover,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_ball_nose_v7,https://www.amanatool.com/pub/media/productattachments/Spiral-Ball-Nose-Speed-Chart-v7.pdf,row_kind=exact;
amana-ball-hardwood-scallop-6000-2f,vendor_lut_chipload,suggest+sim+optimize,scallop,semi_finish,*,ball_nose,hardwood,6.0,2,0.025,0.04,14000.0,21000.0,semi-finish,scallop driven,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_ball_nose_v7,https://www.amanatool.com/pub/media/productattachments/Spiral-Ball-Nose-Speed-Chart-v7.pdf,row_kind=exact;
amana-ball-softwood-parallel-1000-2f-zrn,vendor_lut_chipload,suggest+sim+optimize,parallel,finish,*,ball_nose,softwood,1.0,2,0.01905,0.0508,,,1xD per chart; 3D-finish DOC unspecified by source,scallop driven; not specified by source,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_zrn_3d_profiling,https://www.amanatool.com/pub/media/productattachments/ZrN-3D-Profiling-Feed-Chip-Load-Chart.pdf,row_kind=exact;
amana-ball-mdf-parallel-1000-2f-zrn,vendor_lut_chipload,suggest+sim+optimize,parallel,finish,*,ball_nose,mdf,1.0,2,0.01905,0.0508,,,1xD per chart; 3D-finish DOC unspecified by source,scallop driven; not specified by source,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_zrn_3d_profiling,https://www.amanatool.com/pub/media/productattachments/ZrN-3D-Profiling-Feed-Chip-Load-Chart.pdf,row_kind=exact;
amana-ball-softwood-parallel-1587-2f-zrn,vendor_lut_chipload,suggest+sim+optimize,parallel,finish,*,ball_nose,softwood,1.5875,2,0.0388,0.0635,,,1xD per chart; 3D-finish DOC unspecified by source,scallop driven; not specified by source,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_zrn_3d_profiling,https://www.amanatool.com/pub/media/productattachments/ZrN-3D-Profiling-Feed-Chip-Load-Chart.pdf,row_kind=derived;
amana-ball-softwood-parallel-0794-3f-zrn,vendor_lut_chipload,suggest+sim+optimize,parallel,finish,*,ball_nose,softwood,0.794,3,0.01905,0.0508,,,1xD per chart; 3D-finish DOC unspecified by source,scallop driven; not specified by source,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_zrn_3d_profiling,https://www.amanatool.com/pub/media/productattachments/ZrN-3D-Profiling-Feed-Chip-Load-Chart.pdf,row_kind=exact;
amana-ball-mdf-parallel-0794-3f-zrn,vendor_lut_chipload,suggest+sim+optimize,parallel,finish,*,ball_nose,mdf,0.794,3,0.01905,0.0508,,,1xD per chart; 3D-finish DOC unspecified by source,scallop driven; not specified by source,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_zrn_3d_profiling,https://www.amanatool.com/pub/media/productattachments/ZrN-3D-Profiling-Feed-Chip-Load-Chart.pdf,row_kind=exact;
amana-ball-softwood-parallel-1500-4f-zrn,vendor_lut_chipload,suggest+sim+optimize,parallel,finish,*,ball_nose,softwood,1.5,4,0.0127,0.01651,,,1xD per chart; 3D-finish DOC unspecified by source,scallop driven; not specified by source,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_zrn_3d_profiling,https://www.amanatool.com/pub/media/productattachments/ZrN-3D-Profiling-Feed-Chip-Load-Chart.pdf,row_kind=exact;
amana-facing-mdf-face-22000-2f,vendor_lut_chipload,suggest+sim+optimize,face,roughing,*,facing_bit,mdf,22.0,2,0.09,0.16,10000.0,16000.0,max 1mm,35% to 80%D,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_spoilboard_v8,https://www.amanatool.com/pub/media/productattachments/Spoilboard_2-Wing-Speed-Chart-v8.pdf,row_kind=exact;
amana-facing-hdf-face-22000-2f,vendor_lut_chipload,suggest+sim+optimize,face,roughing,*,facing_bit,hdf,22.0,2,0.075,0.14,10000.0,15000.0,max 0.8mm,35% to 72%D,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_spoilboard_v8,https://www.amanatool.com/pub/media/productattachments/Spoilboard_2-Wing-Speed-Chart-v8.pdf,row_kind=exact;
amana-facing-particleboard-face-22000-2f,vendor_lut_chipload,suggest+sim+optimize,face,roughing,*,facing_bit,particleboard,22.0,2,0.085,0.15,10000.0,16000.0,max 1mm,35% to 80%D,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_spoilboard_v8,https://www.amanatool.com/pub/media/productattachments/Spoilboard_2-Wing-Speed-Chart-v8.pdf,row_kind=exact;
amana-facing-softwood-face-22000-2f,vendor_lut_chipload,suggest+sim+optimize,face,roughing,*,facing_bit,softwood,22.0,2,0.1,0.18,10000.0,17000.0,max 1.2mm,40% to 84%D,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_spoilboard_v8,https://www.amanatool.com/pub/media/productattachments/Spoilboard_2-Wing-Speed-Chart-v8.pdf,row_kind=exact;
amana-facing-hardwood-face-22000-2f,vendor_lut_chipload,suggest+sim+optimize,face,roughing,*,facing_bit,hardwood,22.0,2,0.075,0.14,9000.0,15000.0,max 0.8mm,35% to 72%D,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_spoilboard_v8,https://www.amanatool.com/pub/media/productattachments/Spoilboard_2-Wing-Speed-Chart-v8.pdf,row_kind=exact;
amana-facing-plywood-hardwood-face-22000-2f,vendor_lut_chipload,suggest+sim+optimize,face,roughing,*,facing_bit,plywood_hardwood,22.0,2,0.085,0.15,10000.0,16000.0,max 1mm,35% to 80%D,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_spoilboard_v8,https://www.amanatool.com/pub/media/productattachments/Spoilboard_2-Wing-Speed-Chart-v8.pdf,row_kind=exact;
whiteside-facing-softwood-face-25000-2f,vendor_lut_chipload,suggest+sim+optimize,face,roughing,*,facing_bit,softwood,25.0,2,0.09,0.16,10000.0,16000.0,max 1mm,36% to 80%D,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,b,whiteside_6210_spoilboard,https://www.whitesiderouterbits.com/products/6210,row_kind=exact;
whiteside-facing-mdf-face-25000-2f,vendor_lut_chipload,suggest+sim+optimize,face,roughing,*,facing_bit,mdf,25.0,2,0.08,0.145,10000.0,15000.0,max 0.8mm,36% to 72%D,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,b,whiteside_6210_spoilboard,https://www.whitesiderouterbits.com/products/6210,row_kind=exact;
amana-flat-softwood-adaptive-3175-2f,vendor_lut_chipload,suggest+sim+optimize,adaptive,roughing,*,flat_end,softwood,3.175,2,0.032,0.048,18000.0,24000.0,0.5xD to 1xD,8% to 20%D,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_spektra_spiral_plunge_v24,https://www.amanatool.com/pub/media/productattachments/Solid-Carbide-Spektra-Spiral-Plunge-2-3-Flute-v24.pdf,row_kind=exact; router class
amana-flat-softwood-adaptive-6000-2f,vendor_lut_chipload,suggest+sim+optimize,adaptive,roughing,*,flat_end,softwood,6.0,2,0.065,0.11,14000.0,22000.0,0.5xD to 1.5xD,8% to 20%D,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_spektra_spiral_plunge_v24,https://www.amanatool.com/pub/media/productattachments/Solid-Carbide-Spektra-Spiral-Plunge-2-3-Flute-v24.pdf,row_kind=exact; router class
amana-flat-softwood-adaptive-6000-3f,vendor_lut_chipload,suggest+sim+optimize,adaptive,roughing,*,flat_end,softwood,6.0,3,0.045,0.085,14000.0,22000.0,0.4xD to 1.2xD,6% to 17%D,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_spektra_spiral_plunge_v24,https://www.amanatool.com/pub/media/productattachments/Solid-Carbide-Spektra-Spiral-Plunge-2-3-Flute-v24.pdf,row_kind=exact; router class
amana-flat-softwood-pocket-6000-2f,vendor_lut_chipload,suggest+sim+optimize,pocket,roughing,*,flat_end,softwood,6.0,2,0.05,0.085,14000.0,22000.0,0.35xD to 1xD,20% to 42%D,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_spektra_spiral_plunge_v24,https://www.amanatool.com/pub/media/productattachments/Solid-Carbide-Spektra-Spiral-Plunge-2-3-Flute-v24.pdf,row_kind=exact;
